DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
10-Oct-2025,EQ,"6,132.50","6,507.50","6,110.00","6,132.00","6,489.00","6,474.50","6,385.26","7,071.50","4,955.00",1651908,"10,54,78,56,149.00",145261
09-Oct-2025,EQ,"6,149.00","6,218.50","6,123.50","6,120.50","6,123.50","6,132.00","6,160.57","7,071.50","4,955.00",336390,"2,07,23,53,877.00",39477
08-Oct-2025,EQ,"6,115.00","6,267.50","6,104.00","6,104.50","6,106.00","6,120.50","6,193.69","7,071.50","4,955.00",874932,"5,41,90,60,698.00",60850
07-Oct-2025,EQ,"5,860.00","6,120.00","5,831.50","5,826.50","6,116.00","6,104.50","6,039.39","7,071.50","4,955.00",1024126,"6,18,50,91,536.00",69088
06-Oct-2025,EQ,"5,885.00","5,898.00","5,802.50","5,866.00","5,816.00","5,826.50","5,840.55","7,071.50","4,955.00",196219,"1,14,60,27,480.50",25613
03-Oct-2025,EQ,"5,759.50","5,932.00","5,746.00","5,710.00","5,851.50","5,866.00","5,818.63","7,071.50","4,955.00",655087,"3,81,17,07,931.50",50675
01-Oct-2025,EQ,"5,692.50","5,749.50","5,675.00","5,689.50","5,710.50","5,710.00","5,702.60","7,071.50","4,955.00",721666,"4,11,53,75,142.50",45371
30-Sep-2025,EQ,"5,713.50","5,736.50","5,665.00","5,697.50","5,692.00","5,689.50","5,700.55","7,071.50","4,955.00",281179,"1,60,28,74,776.50",44769
29-Sep-2025,EQ,"5,717.00","5,735.00","5,636.50","5,689.50","5,715.00","5,697.50","5,686.87","7,071.50","4,955.00",467714,"2,65,98,30,594.50",54868
26-Sep-2025,EQ,"5,824.00","5,824.00","5,656.50","5,897.00","5,675.00","5,689.50","5,738.98","7,071.50","4,955.00",672699,"3,86,06,09,130.50",80868
25-Sep-2025,EQ,"5,985.00","6,011.00","5,885.00","5,984.00","5,914.00","5,897.00","5,932.98","7,071.50","4,955.00",210498,"1,24,88,79,492.50",24786
24-Sep-2025,EQ,"6,037.00","6,078.50","5,965.00","6,051.00","5,978.00","5,984.00","6,023.74","7,071.50","4,955.00",253046,"1,52,42,82,369.50",30795
23-Sep-2025,EQ,"6,092.50","6,128.00","6,006.50","6,092.50","6,038.50","6,051.00","6,046.45","7,071.50","4,955.00",264356,"1,59,84,14,517.50",38758
22-Sep-2025,EQ,"6,200.00","6,201.00","6,081.00","6,200.00","6,092.00","6,092.50","6,118.87","7,071.50","4,955.00",290634,"1,77,83,52,544.50",29937
19-Sep-2025,EQ,"6,187.00","6,280.00","6,156.50","6,112.00","6,200.00","6,200.00","6,224.13","7,071.50","4,955.00",734989,"4,57,46,67,599.50",58978
18-Sep-2025,EQ,"6,052.00","6,129.50","6,042.00","6,051.50","6,129.00","6,112.00","6,086.93","7,071.50","4,955.00",480382,"2,92,40,50,461.50",28670
17-Sep-2025,EQ,"6,089.00","6,138.50","6,037.00","6,099.50","6,054.00","6,051.50","6,084.27","7,071.50","4,955.00",413995,"2,51,88,56,597.00",31526
16-Sep-2025,EQ,"6,125.00","6,175.00","6,060.50","6,057.00","6,084.50","6,099.50","6,094.22","7,071.50","4,955.00",285215,"1,73,81,63,290.50",30317
15-Sep-2025,EQ,"6,011.00","6,065.50","5,974.00","6,026.50","6,050.00","6,057.00","6,043.90","7,071.50","4,955.00",152355,"92,08,18,176.50",14919
12-Sep-2025,EQ,"6,025.00","6,083.50","6,004.00","6,015.50","6,022.00","6,026.50","6,037.90","7,071.50","4,955.00",487571,"2,94,39,06,045.50",32766
11-Sep-2025,EQ,"6,035.00","6,075.00","5,996.00","6,031.50","6,025.00","6,015.50","6,021.59","7,071.50","4,955.00",258301,"1,55,53,83,195.00",36263
10-Sep-2025,EQ,"6,015.00","6,043.00","5,896.50","6,002.50","6,030.00","6,031.50","5,951.95","7,071.50","4,955.00",810989,"4,82,69,67,384.50",49960
09-Sep-2025,EQ,"6,025.00","6,050.00","5,997.50","6,027.50","6,005.00","6,002.50","6,011.26","7,071.50","4,955.00",254569,"1,53,02,79,699.00",30348
08-Sep-2025,EQ,"6,029.00","6,066.00","5,940.00","6,009.00","6,031.50","6,027.50","6,001.18","7,071.50","4,955.00",519368,"3,11,68,22,524.50",37128
05-Sep-2025,EQ,"6,133.50","6,177.50","6,002.50","6,133.50","6,021.00","6,009.00","6,064.21","7,071.50","4,955.00",213926,"1,29,72,91,748.50",32384
04-Sep-2025,EQ,"6,163.00","6,197.50","6,093.50","6,164.00","6,130.00","6,133.50","6,133.34","7,071.50","4,955.00",294429,"1,80,58,33,550.50",35250
03-Sep-2025,EQ,"6,145.00","6,188.00","6,097.00","6,120.50","6,163.00","6,164.00","6,150.89","7,071.50","4,955.00",281110,"1,72,90,75,907.50",30046
02-Sep-2025,EQ,"6,093.00","6,148.50","6,059.50","6,093.00","6,119.00","6,120.50","6,107.14","7,071.50","4,955.00",307162,"1,87,58,82,774.50",23592
01-Sep-2025,EQ,"6,131.50","6,135.00","6,064.00","6,131.50","6,090.00","6,093.00","6,093.28","7,071.50","4,955.00",192062,"1,17,02,87,032.00",26963
29-Aug-2025,EQ,"6,132.00","6,177.50","6,092.00","6,132.00","6,095.00","6,131.50","6,141.00","7,071.50","4,858.95",283850,"1,74,31,22,960.50",29986
28-Aug-2025,EQ,"6,275.00","6,275.00","6,108.50","6,190.50","6,135.00","6,132.00","6,146.47","7,071.50","4,858.95",415482,"2,55,37,49,658.50",42228
26-Aug-2025,EQ,"6,260.00","6,260.00","6,120.00","6,248.50","6,195.00","6,190.50","6,187.22","7,071.50","4,858.95",546739,"3,38,27,92,694.00",54834
25-Aug-2025,EQ,"6,255.00","6,314.50","6,204.00","6,151.50","6,242.00","6,248.50","6,249.25","7,071.50","4,858.95",439686,"2,74,77,07,506.50",44517
22-Aug-2025,EQ,"6,088.00","6,188.00","6,088.00","6,028.00","6,154.00","6,151.50","6,145.04","7,071.50","4,615.55",681524,"4,18,79,95,368.50",65942
21-Aug-2025,EQ,"6,005.00","6,060.00","5,988.00","6,005.00","6,030.00","6,028.00","6,024.45","7,071.50","4,615.55",219909,"1,32,48,30,777.50",25419
20-Aug-2025,EQ,"6,084.00","6,096.00","5,952.50","6,079.50","6,005.00","6,005.00","6,004.39","7,071.50","4,615.55",544008,"3,26,64,37,122.50",61661
19-Aug-2025,EQ,"6,165.00","6,170.50","6,075.00","6,164.50","6,093.50","6,079.50","6,119.59","7,071.50","4,615.55",246497,"1,50,84,60,536.00",29466
18-Aug-2025,EQ,"6,148.00","6,211.50","6,092.50","6,132.50","6,154.50","6,164.50","6,169.57","7,071.50","4,615.55",362833,"2,23,85,23,526.00",59465
14-Aug-2025,EQ,"6,155.00","6,205.00","6,091.00","6,100.50","6,133.00","6,132.50","6,138.23","7,071.50","4,615.55",407062,"2,49,86,39,297.50",51936
13-Aug-2025,EQ,"5,971.00","6,150.00","5,970.00","5,961.00","6,084.00","6,100.50","6,076.12","7,071.50","4,615.55",394932,"2,39,96,53,321.00",62453
12-Aug-2025,EQ,"5,992.00","6,015.00","5,947.00","5,992.00","5,966.00","5,961.00","5,984.49","7,071.50","4,615.55",477759,"2,85,91,44,006.50",46979
11-Aug-2025,EQ,"5,891.00","6,016.00","5,856.50","5,914.50","5,980.00","5,992.00","5,938.71","7,071.50","4,615.55",677693,"4,02,46,20,835.00",75565
08-Aug-2025,EQ,"6,100.00","6,118.00","5,893.50","6,131.50","5,910.00","5,914.50","5,994.74","7,071.50","4,615.55",541367,"3,24,53,53,474.00",54156
07-Aug-2025,EQ,"6,150.00","6,174.50","5,960.50","6,133.50","6,126.00","6,131.50","6,062.32","7,071.50","4,615.55",1004420,"6,08,91,18,032.00",93973
